# ----------------------------------------,,,,,,,,,
Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Organic Social,2024041022,63,78,44,38.1025641,0.698412698,5.256410256,0.564102564,410
Organic Social,2024041310,63,82,50,64.76829268,0.793650794,5.634146341,0.609756098,462
Organic Social,2024041315,63,87,45,45.11494253,0.714285714,4.747126437,0.517241379,413
Organic Social,2024042011,63,80,51,67.525,0.80952381,5.9,0.6375,472
Organic Social,2024042015,63,71,53,87.78873239,0.841269841,5.605633803,0.746478873,398
Organic Social,2024042121,63,74,44,38.93243243,0.698412698,5.121621622,0.594594595,379
Referral,2024040918,63,72,47,75.84722222,0.746031746,5.25,0.652777778,378
Referral,2024041011,63,69,48,80.71014493,0.761904762,6.956521739,0.695652174,480
Referral,2024041819,63,76,49,134.6184211,0.777777778,5.065789474,0.644736842,385
Referral,2024042412,63,75,51,72.6,0.80952381,5.386666667,0.68,404
Referral,2024050111,63,68,53,127.0294118,0.841269841,7.235294118,0.779411765,492
Referral,2024050213,63,73,51,114.109589,0.80952381,6.821917808,0.698630137,498
Direct,2024041514,62,77,38,41.90909091,0.612903226,4.402597403,0.493506494,339
Direct,2024041611,62,79,37,53.78481013,0.596774194,4.17721519,0.46835443,330
Direct,2024041710,62,72,34,37.04166667,0.548387097,4.013888889,0.472222222,289
Direct,2024041713,62,80,39,38.3375,0.629032258,4.0375,0.4875,323
Direct,2024042320,62,71,32,40.85915493,0.516129032,3.901408451,0.450704225,277
Direct,2024042616,62,69,39,59.71014493,0.629032258,3.797101449,0.565217391,262
Direct,2024050317,62,77,32,93.24675325,0.516129032,4.649350649,0.415584416,358
Organic Search,2024042214,62,73,35,18.39726027,0.564516129,3.369863014,0.479452055,246
Organic Search,2024042312,62,71,40,46.54929577,0.64516129,3.985915493,0.563380282,283
Organic Search,2024042512,62,81,43,61.28395062,0.693548387,4.901234568,0.530864198,397
Organic Search,2024050210,62,71,51,70.32394366,0.822580645,4.661971831,0.718309859,331
Organic Social,2024040710,62,84,48,49.58333333,0.774193548,4.928571429,0.571428571,414
Organic Social,2024040823,62,75,44,55.17333333,0.709677419,5.28,0.586666667,396
Organic Social,2024040922,62,80,39,35.6625,0.629032258,5.0875,0.4875,407
Organic Social,2024041409,62,84,41,31.71428571,0.661290323,4.428571429,0.488095238,372
Organic Social,2024041913,62,81,41,39.32098765,0.661290323,4.962962963,0.50617284,402
Organic Social,2024042014,62,72,52,73.66666667,0.838709677,6.277777778,0.722222222,452
Organic Social,2024042808,62,71,46,48.08450704,0.741935484,4.802816901,0.647887324,341
Referral,2024040810,62,66,54,131.0606061,0.870967742,7,0.818181818,462
Referral,2024041220,62,65,54,102.8153846,0.870967742,9.492307692,0.830769231,617
Referral,2024041519,62,68,50,106.4558824,0.806451613,6.514705882,0.735294118,443
Referral,2024041711,62,72,49,94.26388889,0.790322581,5.333333333,0.680555556,384
Referral,2024042415,62,76,54,104.0921053,0.870967742,6.25,0.710526316,475
Referral,2024042511,62,72,49,81.95833333,0.790322581,6.013888889,0.680555556,433
Referral,2024042915,62,66,45,92.42424242,0.725806452,8.984848485,0.681818182,593
Direct,2024041013,61,69,32,46.15942029,0.524590164,4.463768116,0.463768116,308
Direct,2024041212,61,78,33,22.75641026,0.540983607,3.358974359,0.423076923,262
Direct,2024041221,61,77,27,41.06493506,0.442622951,4.25974026,0.350649351,328
Direct,2024041517,61,80,39,48.4875,0.639344262,3.925,0.4875,314
Direct,2024042222,61,77,40,56.22077922,0.655737705,3.701298701,0.519480519,285
Direct,2024042912,61,74,40,91.06756757,0.655737705,5.094594595,0.540540541,377
Direct,2024043018,61,72,32,42.72222222,0.524590164,4.638888889,0.444444444,334
Direct,2024043019,61,74,32,22.72972973,0.524590164,3.364864865,0.432432432,249
Direct,2024050123,61,81,33,37.7654321,0.540983607,4.185185185,0.407407407,339
Organic Search,2024040819,61,67,40,27.71641791,0.655737705,3.582089552,0.597014925,240
Organic Search,2024041220,61,74,43,48.91891892,0.704918033,3.743243243,0.581081081,277
Organic Search,2024041320,61,70,33,47.88571429,0.540983607,3.914285714,0.471428571,274
Organic Search,2024041423,61,69,34,45.57971014,0.557377049,3.420289855,0.492753623,236
Organic Search,2024041513,61,72,43,71.70833333,0.704918033,4.208333333,0.597222222,303
Organic Search,2024042618,61,66,40,60.98484848,0.655737705,4.303030303,0.606060606,284
Organic Search,2024042714,61,69,36,33.44927536,0.590163934,3.985507246,0.52173913,275
Organic Search,2024043020,61,73,46,48.56164384,0.754098361,4.123287671,0.630136986,301
Organic Social,2024040609,61,79,45,48.88607595,0.737704918,4.936708861,0.569620253,390
Organic Social,2024040701,61,84,47,61.22619048,0.770491803,5.142857143,0.55952381,432
Organic Social,2024041701,61,95,35,45.97894737,0.573770492,4.526315789,0.368421053,430
Organic Social,2024041901,61,83,37,37.02409639,0.606557377,3.506024096,0.445783133,291
Organic Social,2024042118,61,70,48,41.57142857,0.786885246,5.257142857,0.685714286,368
Referral,2024040612,61,67,49,93.68656716,0.803278689,7.179104478,0.731343284,481
Referral,2024041121,61,69,42,82.14492754,0.68852459,5.492753623,0.608695652,379
Referral,2024041122,61,69,42,91.11594203,0.68852459,6.666666667,0.608695652,460
Referral,2024041822,61,68,44,62.35294118,0.721311475,5.338235294,0.647058824,363
Referral,2024042317,61,70,45,53.62857143,0.737704918,5.128571429,0.642857143,359
Referral,2024042413,61,65,43,43.64615385,0.704918033,4.630769231,0.661538462,301
Referral,2024042918,61,64,48,100.046875,0.786885246,6.078125,0.75,389
Referral,2024050123,61,65,43,114.8769231,0.704918033,5.861538462,0.661538462,381
Direct,2024040600,60,66,40,97.59090909,0.666666667,4.03030303,0.606060606,266
Direct,2024040715,60,73,35,52.5890411,0.583333333,4.452054795,0.479452055,325
Direct,2024041318,60,76,31,23.96052632,0.516666667,3.289473684,0.407894737,250
Direct,2024042214,60,77,39,51.2987013,0.65,4.233766234,0.506493506,326
Direct,2024042617,60,74,33,33.91891892,0.55,3.648648649,0.445945946,270
Direct,2024042823,60,66,36,92.71212121,0.6,5.984848485,0.545454545,395
Direct,2024050215,60,71,31,42.69014085,0.516666667,3.873239437,0.436619718,275
Direct,2024050221,60,74,34,51.35135135,0.566666667,4.472972973,0.459459459,331
Organic Search,2024040720,60,64,42,49.171875,0.7,4.59375,0.65625,294
Organic Search,2024040918,60,65,38,25.4,0.633333333,3.6,0.584615385,234
Organic Search,2024041019,60,69,41,35.07246377,0.683333333,3.47826087,0.594202899,240
Organic Search,2024041216,60,69,37,37.30434783,0.616666667,3.68115942,0.536231884,254
Organic Search,2024041412,60,66,40,36.37878788,0.666666667,4.227272727,0.606060606,279
Organic Search,2024041619,60,71,40,21.3943662,0.666666667,3.478873239,0.563380282,247
Organic Search,2024041717,60,67,42,58.7761194,0.7,3.447761194,0.626865672,231
Organic Search,2024041912,60,75,44,35.25333333,0.733333333,3.306666667,0.586666667,248
Organic Search,2024041922,60,70,42,38.32857143,0.7,4.457142857,0.6,312
Organic Search,2024042210,60,69,45,36.98550725,0.75,4.637681159,0.652173913,320
Organic Search,2024043012,60,75,42,54.24,0.7,4.64,0.56,348
Organic Search,2024050120,60,66,42,56.98484848,0.7,3.924242424,0.636363636,259
Organic Search,2024050311,60,75,42,42.05333333,0.7,3.933333333,0.56,295
Organic Social,2024040623,60,81,34,29.22222222,0.566666667,3.777777778,0.419753086,306
Organic Social,2024040809,60,69,44,123.1449275,0.733333333,5.362318841,0.637681159,370
Organic Social,2024041109,60,79,39,48.46835443,0.65,4.253164557,0.493670886,336
Organic Social,2024041223,60,68,40,61.14705882,0.666666667,5.779411765,0.588235294,393
Referral,2024040820,60,70,42,51.61428571,0.7,4.728571429,0.6,331
Referral,2024040922,60,72,46,89.13888889,0.766666667,6.430555556,0.638888889,463
Referral,2024041621,60,72,44,88.75,0.733333333,5.152777778,0.611111111,371
Referral,2024041716,60,65,51,72.67692308,0.85,5.923076923,0.784615385,385
Referral,2024041811,60,68,50,74.38235294,0.833333333,7.308823529,0.735294118,497
Referral,2024042212,60,71,53,105.7464789,0.883333333,7.845070423,0.746478873,557
Referral,2024042313,60,69,47,88.53623188,0.783333333,5.565217391,0.68115942,384
Referral,2024042418,60,71,37,68.42253521,0.616666667,4.774647887,0.521126761,339
Referral,2024042611,60,70,48,106.0285714,0.8,5.471428571,0.685714286,383
Referral,2024042720,60,67,45,67.64179104,0.75,5,0.671641791,335
Referral,2024042922,60,68,46,85.04411765,0.766666667,4.602941176,0.676470588,313
Referral,2024050318,60,67,48,110,0.8,6.417910448,0.71641791,430
Referral,2024050319,60,67,41,140.6716418,0.683333333,6.388059701,0.611940299,428
Direct,2024040722,59,71,30,25.77464789,0.508474576,4.042253521,0.422535211,287
Direct,2024040812,59,78,35,26.65384615,0.593220339,3.948717949,0.448717949,308
Direct,2024040918,59,67,30,31.08955224,0.508474576,3.910447761,0.447761194,262
Direct,2024041010,59,71,30,47.52112676,0.508474576,4.577464789,0.422535211,325
Direct,2024041213,59,69,26,33.60869565,0.440677966,4.362318841,0.376811594,301
Direct,2024041323,59,65,32,88.8,0.542372881,4.815384615,0.492307692,313
Direct,2024041516,59,77,31,29.57142857,0.525423729,3.701298701,0.402597403,285
Direct,2024041520,59,86,31,66.87209302,0.525423729,4.093023256,0.360465116,352
Direct,2024041910,59,68,32,46.63235294,0.542372881,4.205882353,0.470588235,286
Direct,2024042122,59,75,35,54.84,0.593220339,4.2,0.466666667,315
Direct,2024042416,59,69,36,95.44927536,0.610169492,4.173913043,0.52173913,288
Direct,2024042620,59,70,36,51.05714286,0.610169492,5.142857143,0.514285714,360
Direct,2024042820,59,71,39,47.77464789,0.661016949,4.014084507,0.549295775,285
Direct,2024042822,59,76,27,43.39473684,0.457627119,4.052631579,0.355263158,308
Direct,2024043010,59,73,37,33.7260274,0.627118644,4.082191781,0.506849315,298
Direct,2024043017,59,68,28,38.94117647,0.474576271,5.367647059,0.411764706,365
Direct,2024050300,59,70,28,20.94285714,0.474576271,4.314285714,0.4,302
Direct,2024050319,59,77,28,40.5974026,0.474576271,4.727272727,0.363636364,364
Organic Search,2024041018,59,68,32,42.66176471,0.542372881,3.808823529,0.470588235,259
Organic Search,2024041421,59,71,35,50,0.593220339,4.309859155,0.492957746,306
Organic Search,2024041917,59,68,40,75.73529412,0.677966102,3.75,0.588235294,255
Organic Search,2024041918,59,68,45,37.23529412,0.762711864,4.058823529,0.661764706,276
Organic Search,2024042322,59,74,47,45.81081081,0.796610169,4.040540541,0.635135135,299
Organic Search,2024042423,59,71,44,24.52112676,0.745762712,3.690140845,0.61971831,262
Organic Search,2024042517,59,67,46,43.98507463,0.779661017,4.164179104,0.686567164,279
Organic Search,2024042921,59,78,35,39.1025641,0.593220339,3.641025641,0.448717949,284
Organic Search,2024050216,59,67,39,51.46268657,0.661016949,3.71641791,0.582089552,249
Organic Search,2024050220,59,69,40,34.34782609,0.677966102,4.84057971,0.579710145,334
Organic Social,2024041617,59,83,39,36.90361446,0.661016949,4.313253012,0.469879518,358
Organic Social,2024041707,59,77,36,41.27272727,0.610169492,4.311688312,0.467532468,332
Organic Social,2024042001,59,78,47,48.91025641,0.796610169,5.487179487,0.602564103,428
Referral,2024040814,59,66,47,55.66666667,0.796610169,5.787878788,0.712121212,382
Referral,2024041215,59,67,38,129.1791045,0.644067797,4.940298507,0.567164179,331
Referral,2024041713,59,72,39,84.875,0.661016949,5.208333333,0.541666667,375
Referral,2024042011,59,72,45,95.20833333,0.762711864,6.208333333,0.625,447
Referral,2024042215,59,65,42,76.38461538,0.711864407,4.615384615,0.646153846,300
Referral,2024042315,59,69,52,90.72463768,0.881355932,5.913043478,0.753623188,408
Referral,2024042320,59,65,47,102.2615385,0.796610169,7.584615385,0.723076923,493
Referral,2024042514,59,66,39,95.71212121,0.661016949,5.090909091,0.590909091,336
Referral,2024042712,59,64,53,78.734375,0.898305085,6.546875,0.828125,419
Referral,2024042822,59,67,47,102.0149254,0.796610169,7.268656716,0.701492537,487
Referral,2024042912,59,66,48,100.5909091,0.813559322,5.590909091,0.727272727,369
Referral,2024043013,59,63,43,124.8888889,0.728813559,5.825396825,0.682539683,367
Direct,2024040823,58,66,28,49.83333333,0.482758621,4.242424242,0.424242424,280
Direct,2024041418,58,69,32,43.26086957,0.551724138,3.492753623,0.463768116,241
Direct,2024041812,58,71,37,62.38028169,0.637931034,5.225352113,0.521126761,371
Direct,2024041814,58,73,30,69.63013699,0.517241379,4.232876712,0.410958904,309
Direct,2024041911,58,77,29,23.51948052,0.5,3.532467532,0.376623377,272
Direct,2024041915,58,71,40,53.91549296,0.689655172,3.887323944,0.563380282,276
Direct,2024042516,58,74,34,55.48648649,0.586206897,4.513513514,0.459459459,334
Direct,2024042612,58,76,43,83.07894737,0.74137931,4,0.565789474,304
Direct,2024042914,58,81,37,53.80246914,0.637931034,4.074074074,0.456790123,330
Direct,2024042917,58,77,34,52.18181818,0.586206897,4.38961039,0.441558442,338
Direct,2024042920,58,73,40,41.89041096,0.689655172,4.287671233,0.547945205,313
Direct,2024043013,58,69,34,35.88405797,0.586206897,3.942028986,0.492753623,272
Direct,2024050212,58,70,33,66.32857143,0.568965517,3.9,0.471428571,273
Organic Search,2024040821,58,72,45,37.86111111,0.775862069,4.027777778,0.625,290
Organic Search,2024041011,58,68,44,51.64705882,0.75862069,3.588235294,0.647058824,244
Organic Search,2024041809,58,63,36,41.76190476,0.620689655,4.412698413,0.571428571,278
Organic Search,2024042216,58,68,39,55.29411765,0.672413793,4.367647059,0.573529412,297
Organic Search,2024042310,58,62,42,47,0.724137931,4.5,0.677419355,279
Organic Search,2024042513,58,67,36,46.67164179,0.620689655,4.52238806,0.537313433,303
Organic Search,2024042523,58,67,36,23.94029851,0.620689655,3.47761194,0.537313433,233
Organic Search,2024042612,58,64,44,50.953125,0.75862069,3.53125,0.6875,226
Organic Search,2024042613,58,76,41,51.46052632,0.706896552,4.460526316,0.539473684,339
Organic Search,2024042919,58,64,39,34.984375,0.672413793,3.78125,0.609375,242
Organic Search,2024043013,58,66,40,53.95454545,0.689655172,3.833333333,0.606060606,253
Organic Social,2024041101,58,86,40,62.3372093,0.689655172,4.802325581,0.465116279,413
Organic Social,2024041112,58,73,40,58.10958904,0.689655172,6.02739726,0.547945205,440
Organic Social,2024041311,58,75,47,49.54666667,0.810344828,5.04,0.626666667,378
Organic Social,2024041608,58,82,44,36.41463415,0.75862069,5.097560976,0.536585366,418
Organic Social,2024042009,58,75,37,31.46666667,0.637931034,4.746666667,0.493333333,356
Organic Social,2024042801,58,93,34,11.41935484,0.586206897,3.537634409,0.365591398,329
Referral,2024040815,58,64,34,101.015625,0.586206897,5.03125,0.53125,322
Referral,2024040821,58,65,40,84.78461538,0.689655172,5.030769231,0.615384615,327
Referral,2024041020,58,64,50,101.859375,0.862068966,7.046875,0.78125,451
Referral,2024041021,58,64,45,91.78125,0.775862069,6.671875,0.703125,427
Referral,2024042210,58,66,45,71.6969697,0.775862069,5.242424242,0.681818182,346
Referral,2024042311,58,67,49,96.41791045,0.844827586,7.253731343,0.731343284,486
Referral,2024042316,58,76,39,39.48684211,0.672413793,4.828947368,0.513157895,367
Referral,2024042319,58,66,47,107.8030303,0.810344828,8,0.712121212,528
Referral,2024042518,58,63,45,127.1746032,0.775862069,7.333333333,0.714285714,462
Referral,2024050217,58,65,38,93.61538462,0.655172414,5.276923077,0.584615385,343
Referral,2024050317,58,64,39,92.390625,0.672413793,5.75,0.609375,368
Direct,2024040718,57,64,27,37.015625,0.473684211,4.53125,0.421875,290
Direct,2024040720,57,71,32,38.50704225,0.561403509,4.14084507,0.450704225,294
Direct,2024040810,57,70,31,57.52857143,0.543859649,4.2,0.442857143,294
Direct,2024040818,57,72,30,48.30555556,0.526315789,3.916666667,0.416666667,282
Direct,2024040822,57,69,30,48.76811594,0.526315789,4.710144928,0.434782609,325
Direct,2024040921,57,72,34,42.875,0.596491228,3.388888889,0.472222222,244
Direct,2024041018,57,72,29,80.20833333,0.50877193,4.430555556,0.402777778,319
Direct,2024041122,57,66,40,44.87878788,0.701754386,3.409090909,0.606060606,225
Direct,2024041200,57,73,27,44.8630137,0.473684211,3.054794521,0.369863014,223
Direct,2024041512,57,70,30,26.74285714,0.526315789,3.7,0.428571429,259
Direct,2024041610,57,67,35,45.04477612,0.614035088,4.179104478,0.52238806,280
Direct,2024041914,57,78,33,65.02564103,0.578947368,3.948717949,0.423076923,308
Direct,2024042013,57,65,39,78.78461538,0.684210526,4.784615385,0.6,311
Direct,2024042613,57,69,41,51.53623188,0.719298246,4.260869565,0.594202899,294
Direct,2024043000,57,69,30,38.1884058,0.526315789,4.072463768,0.434782609,281
Direct,2024050313,57,64,30,17.84375,0.526315789,4.140625,0.46875,265
Direct,2024050323,57,67,32,44.11940299,0.561403509,4.671641791,0.47761194,313
Organic Search,2024040718,57,70,37,28.17142857,0.649122807,3.571428571,0.528571429,250
Organic Search,2024040813,57,65,35,60.30769231,0.614035088,4.461538462,0.538461538,290
Organic Search,2024041215,57,65,35,38.06153846,0.614035088,3.2,0.538461538,208
Organic Search,2024041418,57,62,40,31.5483871,0.701754386,3.790322581,0.64516129,235
Organic Search,2024041517,57,68,40,61.17647059,0.701754386,4.720588235,0.588235294,321
Organic Search,2024041521,57,71,32,39.50704225,0.561403509,3.563380282,0.450704225,253
Organic Search,2024041914,57,72,34,39.51388889,0.596491228,3.625,0.472222222,261
Organic Search,2024042217,57,65,36,64.55384615,0.631578947,4.830769231,0.553846154,314
Organic Search,2024042221,57,68,37,65.94117647,0.649122807,4.617647059,0.544117647,314
Organic Search,2024042509,57,68,39,53.23529412,0.684210526,3.735294118,0.573529412,254
Organic Search,2024050217,57,63,34,30.34920635,0.596491228,3.746031746,0.53968254,236
Organic Search,2024050218,57,62,37,40.48387097,0.649122807,4.677419355,0.596774194,290
Organic Social,2024040900,57,85,43,51.74117647,0.754385965,5.094117647,0.505882353,433
Organic Social,2024042010,57,76,40,44.93421053,0.701754386,4.105263158,0.526315789,312
Organic Social,2024042013,57,70,43,41.41428571,0.754385965,4.471428571,0.614285714,313
Organic Social,2024042409,57,64,42,80.5,0.736842105,5.015625,0.65625,321
Organic Social,2024042701,57,72,43,28.30555556,0.754385965,5.25,0.597222222,378
Organic Social,2024042710,57,70,44,78.05714286,0.771929825,9.642857143,0.628571429,675
Organic Social,2024050209,57,76,38,68.71052632,0.666666667,4.171052632,0.5,317
Referral,2024041018,57,66,43,113.6818182,0.754385965,5.636363636,0.651515152,372
Referral,2024041222,57,67,46,84.11940299,0.807017544,7.313432836,0.686567164,490
Referral,2024041611,57,65,47,77.53846154,0.824561404,6.430769231,0.723076923,418
Referral,2024041717,57,63,41,121.0952381,0.719298246,5.873015873,0.650793651,370
Referral,2024041914,57,65,36,78.23076923,0.631578947,4.676923077,0.553846154,304
Referral,2024042421,57,65,46,74.29230769,0.807017544,5.446153846,0.707692308,354
Referral,2024042520,57,64,38,83.609375,0.666666667,4.953125,0.59375,317
Referral,2024042913,57,66,43,78.10606061,0.754385965,4.878787879,0.651515152,322
Referral,2024042914,57,62,49,116.2419355,0.859649123,5.580645161,0.790322581,346
Referral,2024043010,57,67,44,66.58208955,0.771929825,4.925373134,0.656716418,330
Referral,2024043023,57,61,47,94.75409836,0.824561404,5.967213115,0.770491803,364
Direct,2024040914,56,64,34,101.296875,0.607142857,3.71875,0.53125,238
Direct,2024041011,56,61,33,29.18032787,0.589285714,3.737704918,0.540983607,228
Direct,2024041021,56,74,31,59.86486486,0.553571429,3.648648649,0.418918919,270
Direct,2024041121,56,72,35,44.76388889,0.625,3.138888889,0.486111111,226
Direct,2024041209,56,62,25,31.98387097,0.446428571,3.661290323,0.403225806,227
Direct,2024041219,56,71,26,23.25352113,0.464285714,2.985915493,0.366197183,212
Direct,2024041321,56,71,44,41.43661972,0.785714286,4.929577465,0.61971831,350
Direct,2024041921,56,68,34,89.41176471,0.607142857,4.088235294,0.5,278
Direct,2024042317,56,65,37,47.07692308,0.660714286,5.230769231,0.569230769,340
Direct,2024042918,56,64,34,86.421875,0.607142857,4.78125,0.53125,306
Organic Search,2024040915,56,65,47,32.92307692,0.839285714,4.153846154,0.723076923,270
Organic Search,2024041010,56,66,36,55.75757576,0.642857143,4.287878788,0.545454545,283
Organic Search,2024041210,56,66,38,30.81818182,0.678571429,3.803030303,0.575757576,251
Organic Search,2024041316,56,65,42,40.46153846,0.75,4.230769231,0.646153846,275
Organic Search,2024041319,56,62,38,32.75806452,0.678571429,3.870967742,0.612903226,240
Organic Search,2024041322,56,60,33,53.36666667,0.589285714,6.116666667,0.55,367
Organic Search,2024041511,56,64,36,56.96875,0.642857143,5.28125,0.5625,338
Organic Search,2024042120,56,60,38,40.08333333,0.678571429,3.733333333,0.633333333,224
Organic Search,2024042418,56,63,43,53.17460317,0.767857143,4.761904762,0.682539683,300
Organic Search,2024042522,56,61,36,44.54098361,0.642857143,4.819672131,0.590163934,294
Organic Search,2024042611,56,61,44,105.6229508,0.785714286,4.475409836,0.721311475,273
Organic Search,2024042614,56,68,36,64.11764706,0.642857143,4.441176471,0.529411765,302
Organic Search,2024042619,56,62,44,68.61290323,0.785714286,6.983870968,0.709677419,433
Organic Search,2024050215,56,64,39,63.84375,0.696428571,4.03125,0.609375,258
Organic Social,2024040617,56,67,34,47.25373134,0.607142857,4.76119403,0.507462687,319
Organic Social,2024040901,56,76,40,54.14473684,0.714285714,5.75,0.526315789,437
Organic Social,2024041703,56,71,33,40.12676056,0.589285714,4.507042254,0.464788732,320
Organic Social,2024042408,56,70,28,51.77142857,0.5,4.828571429,0.4,338
Organic Social,2024042708,56,64,40,42.90625,0.714285714,5.09375,0.625,326
Organic Social,2024042815,56,70,33,62.2,0.589285714,5.528571429,0.471428571,387
Referral,2024040823,56,65,36,42.86153846,0.642857143,4.6,0.553846154,299
Referral,2024041218,56,63,40,65.95238095,0.714285714,6.126984127,0.634920635,386
Referral,2024041221,56,69,35,38.62318841,0.625,4.202898551,0.507246377,290
Referral,2024042010,56,69,48,79.37681159,0.857142857,5.507246377,0.695652174,380
Referral,2024042510,56,63,43,98,0.767857143,6.444444444,0.682539683,406
Referral,2024042621,56,63,42,2187.206349,0.75,5.920634921,0.666666667,373
Direct,2024040719,55,65,39,60.96923077,0.709090909,4.369230769,0.6,284
Direct,2024040816,55,65,35,53.58461538,0.636363636,3.676923077,0.538461538,239
Direct,2024041012,55,70,31,43.32857143,0.563636364,4.628571429,0.442857143,324
Direct,2024041420,55,65,28,40.75384615,0.509090909,3.938461538,0.430769231,256
Direct,2024041423,55,62,29,27.03225806,0.527272727,3.903225806,0.467741935,242
Direct,2024041614,55,67,45,67.31343284,0.818181818,5.223880597,0.671641791,350
Direct,2024041709,55,65,26,69.15384615,0.472727273,3.661538462,0.4,238
Direct,2024041810,55,76,32,45.61842105,0.581818182,4.078947368,0.421052632,310
Direct,2024042121,55,60,33,55.45,0.6,4.7,0.55,282
Direct,2024042310,55,69,38,52.02898551,0.690909091,4.710144928,0.550724638,325
Direct,2024042414,55,64,35,35.265625,0.636363636,4.171875,0.546875,267
Direct,2024042619,55,66,34,34.46969697,0.618181818,4.666666667,0.515151515,308
Direct,2024043014,55,66,30,67.07575758,0.545454545,4.53030303,0.454545455,299
Direct,2024043023,55,68,23,21.92647059,0.418181818,3.823529412,0.338235294,260
Direct,2024050321,55,67,37,61.05970149,0.672727273,6.432835821,0.552238806,431
Organic Search,2024040810,55,67,46,54.56716418,0.836363636,4.044776119,0.686567164,271
Organic Search,2024041311,55,65,38,64,0.690909091,4.846153846,0.584615385,315
Organic Search,2024041413,55,63,39,57.85714286,0.709090909,4.968253968,0.619047619,313
Organic Search,2024041713,55,62,35,25.59677419,0.636363636,3.693548387,0.564516129,229
Organic Search,2024042014,55,65,35,27.90769231,0.636363636,3.769230769,0.538461538,245
Organic Search,2024042222,55,71,39,29.8028169,0.709090909,3.732394366,0.549295775,265
Organic Search,2024042311,55,63,37,33.17460317,0.672727273,4.492063492,0.587301587,283
Organic Search,2024042313,55,62,33,42.61290323,0.6,3.225806452,0.532258065,200
Organic Search,2024042422,55,62,38,83.4516129,0.690909091,5.870967742,0.612903226,364
Organic Search,2024042922,55,66,37,73.03030303,0.672727273,4.909090909,0.560606061,324
Organic Search,2024050114,55,57,44,41.71929825,0.8,4.543859649,0.771929825,259
Organic Social,2024040616,55,68,48,63.23529412,0.872727273,5.735294118,0.705882353,390
Organic Social,2024040817,55,81,34,33.92592593,0.618181818,3.851851852,0.419753086,312
Organic Social,2024041313,55,67,41,66.97014925,0.745454545,5.059701493,0.611940299,339
Organic Social,2024041403,55,73,33,46.05479452,0.6,4.191780822,0.452054795,306
Organic Social,2024041407,55,72,35,28.52777778,0.636363636,4.486111111,0.486111111,323
Organic Social,2024041801,55,79,40,44.62025316,0.727272727,4.974683544,0.506329114,393
Organic Social,2024041809,55,67,43,40.65671642,0.781818182,4.358208955,0.641791045,292
Organic Social,2024042115,55,69,33,36.17391304,0.6,4.579710145,0.47826087,316
Organic Social,2024042123,55,69,39,44.17391304,0.709090909,5.884057971,0.565217391,406
Organic Social,2024042908,55,64,37,35.015625,0.672727273,5.09375,0.578125,326
Referral,2024040920,55,66,42,66.04545455,0.763636364,5.439393939,0.636363636,359
Referral,2024041015,55,68,43,54.19117647,0.781818182,5.558823529,0.632352941,378
Referral,2024041019,55,62,46,117.6935484,0.836363636,6.080645161,0.741935484,377
Referral,2024041312,55,61,44,98.80327869,0.8,8.803278689,0.721311475,537
Referral,2024041510,55,60,47,87.1,0.854545455,6.383333333,0.783333333,383
Referral,2024041513,55,64,45,112.9375,0.818181818,4.9375,0.703125,316
Referral,2024041619,55,62,46,124.983871,0.836363636,6.5,0.741935484,403
Referral,2024041823,55,62,40,63.82258065,0.727272727,5.177419355,0.64516129,321
Referral,2024042322,55,61,44,77.93442623,0.8,6.016393443,0.721311475,367
Referral,2024042916,55,60,43,89.56666667,0.781818182,6.516666667,0.716666667,391
Referral,2024042919,55,64,44,50.65625,0.8,4.53125,0.6875,290
Referral,2024043018,55,62,41,28.14516129,0.745454545,4.209677419,0.661290323,261
Referral,2024050115,55,60,48,62.7,0.872727273,5.3,0.8,318
Referral,2024050309,55,59,38,43.10169492,0.690909091,4.847457627,0.644067797,286
Referral,2024050316,55,59,42,107.4745763,0.763636364,5.169491525,0.711864407,305
Direct,2024040717,54,68,26,30.20588235,0.481481481,4.147058824,0.382352941,282
Direct,2024040723,54,64,28,56.546875,0.518518519,3.953125,0.4375,253
Direct,2024041417,54,67,27,45.92537313,0.5,4.149253731,0.402985075,278
Direct,2024041815,54,64,36,68.46875,0.666666667,4.546875,0.5625,291
Direct,2024041917,54,67,30,27.91044776,0.555555556,3.567164179,0.447761194,239
Direct,2024042020,54,60,28,42.46666667,0.518518519,4.416666667,0.466666667,265
Direct,2024042212,54,66,36,40.74242424,0.666666667,3.742424242,0.545454545,247
Direct,2024042415,54,65,35,50.16923077,0.648148148,5.4,0.538461538,351
Direct,2024042421,54,68,35,46.64705882,0.648148148,4.794117647,0.514705882,326
Direct,2024042618,54,66,38,70.01515152,0.703703704,4.378787879,0.575757576,289
Direct,2024042910,54,63,30,46.6031746,0.555555556,4.650793651,0.476190476,293
Direct,2024050213,54,68,26,73.61764706,0.481481481,4.676470588,0.382352941,318
Organic Search,2024040822,54,66,39,69.87878788,0.722222222,4.53030303,0.590909091,299
Organic Search,2024041114,54,71,38,48.21126761,0.703703704,4.295774648,0.535211268,305
Organic Search,2024041211,54,62,37,50.51612903,0.685185185,3.951612903,0.596774194,245
Organic Search,2024041317,54,67,36,40.95522388,0.666666667,3.850746269,0.537313433,258
